# signal	pin	af	source_table  (N32L40x UM V2.5.0, DP-segmented)
COMP1_OUT	PA0	8	Table 5-25
EVENTOUT	PA0	3	Table 5-27
LPUART_RX	PA0	6	Table 5-20
SPI1_I2S1_MISO_MCK	PA0	0	Table 5-23
TIM2_CH1	PA0	2	Table 5-7
TIM2_ETR	PA0	5	Table 5-7
TIM5_CH1	PA0	1	Table 5-10
TIM8_ETR	PA0	7	Table 5-11
USART2_CTS	PA0	4	Table 5-16
EVENTOUT	PA1	3	Table 5-27
LPUART_TX	PA1	6	Table 5-20
SEG16	PA1	10	Table 5-29
TIM2_CH2	PA1	2	Table 5-7
TIM5_CH2	PA1	7	Table 5-10
USART2_RTS	PA1	4	Table 5-16
COM2	PA10	10	Table 5-29
EVENTOUT	PA10	3	Table 5-27
I2C2_SDA	PA10	6	Table 5-22
SPI1_I2S1_SCLK_CK	PA10	0	Table 5-23
SPI2_I2S2_SCLK_CK	PA10	5	Table 5-24
TIM1_CH3	PA10	2	Table 5-6
USART1_RX	PA10	4	Table 5-15
CAN_RX	PA11	1	Table 5-14
COMP1_OUT	PA11	7	Table 5-25
EVENTOUT	PA11	3	Table 5-27
SPI2_I2S2_MISO_MCK	PA11	0	Table 5-24
TIM1_CH4	PA11	2	Table 5-6
USART1_CTS	PA11	4	Table 5-15
CAN_TX	PA12	1	Table 5-14
COMP2_OUT	PA12	7	Table 5-26
EVENTOUT	PA12	3	Table 5-27
SPI2_I2S2_MOSI_SD	PA12	0	Table 5-24
TIM1_ETR	PA12	2	Table 5-6
USART1_RTS	PA12	4	Table 5-15
EVENTOUT	PA13	3	Table 5-27
SPI2_I2S2_NSS_WS	PA13	5	Table 5-24
COMP2_OUT	PA14	8	Table 5-26
I2C1_SDA	PA14	7	Table 5-21
USART2_CK	PA14	4	Table 5-16
COM3	PA15	11	Table 5-29
EVENTOUT	PA15	3	Table 5-27
I2C1_SCL	PA15	7	Table 5-21
SEG16	PA15	10	Table 5-29
SPI2_I2S2_NSS_WS	PA15	1	Table 5-24
TIM2_CH2	PA15	5	Table 5-7
TIM2_ETR	PA15	2	Table 5-7
USART2_CTS	PA15	6	Table 5-16
COMP2_OUT	PA2	7	Table 5-26
EVENTOUT	PA2	3	Table 5-27
I2C2_SCL	PA2	5	Table 5-22
SEG16	PA2	10	Table 5-29
TIM2_CH2	PA2	2	Table 5-7
TIM5_CH3	PA2	6	Table 5-10
USART2_TX	PA2	4	Table 5-16
EVENTOUT	PA3	3	Table 5-27
I2C2_SCL	PA3	5	Table 5-22
LPUART_RX	PA3	6	Table 5-20
SEG16	PA3	10	Table 5-29
TIM5_CH4	PA3	7	Table 5-10
USART2_RX	PA3	4	Table 5-16
EVENTOUT	PA4	3	Table 5-27
I2C1_SCL	PA4	7	Table 5-21
LPUART_RX	PA4	6	Table 5-20
SPI1_I2S1_NSS_WS	PA4	0	Table 5-23
USART1_TX	PA4	1	Table 5-15
USART2_CK	PA4	4	Table 5-16
EVENTOUT	PA5	3	Table 5-27
I2C1_SDA	PA5	7	Table 5-21
SPI1_I2S1_SCLK_CK	PA5	0	Table 5-23
USART1_RX	PA5	4	Table 5-15
COMP2_OUT	PA6	7	Table 5-26
EVENTOUT	PA6	3	Table 5-27
LPUART_RX	PA6	4	Table 5-20
SEG16	PA6	10	Table 5-29
SPI1_I2S1_MISO_MCK	PA6	0	Table 5-23
TIM1_BKIN	PA6	5	Table 5-6
TIM3_CH1	PA6	2	Table 5-8
TIM8_BKIN	PA6	6	Table 5-11
COMP2_OUT	PA7	7	Table 5-26
EVENTOUT	PA7	3	Table 5-27
SEG16	PA7	10	Table 5-29
SPI1_I2S1_MOSI_SD	PA7	0	Table 5-23
TIM1_CH1N	PA7	5	Table 5-6
TIM3_CH2	PA7	2	Table 5-8
TIM8_CH1N	PA7	6	Table 5-11
COM0	PA8	10	Table 5-29
EVENTOUT	PA8	3	Table 5-27
I2C2_SDA	PA8	6	Table 5-22
I2C2_SMBA	PA8	1	Table 5-22
SPI1_I2S1_NSS_WS	PA8	5	Table 5-23
TIM1_CH1	PA8	2	Table 5-6
USART1_CK	PA8	4	Table 5-15
COM1	PA9	10	Table 5-29
EVENTOUT	PA9	3	Table 5-27
I2C2_SCL	PA9	6	Table 5-22
TIM1_CH2	PA9	2	Table 5-6
USART1_TX	PA9	4	Table 5-15
EVENTOUT	PB0	3	Table 5-27
SEG16	PB0	10	Table 5-29
TIM1_CH2N	PB0	5	Table 5-6
TIM3_CH3	PB0	2	Table 5-8
TIM8_CH2N	PB0	7	Table 5-11
UART4_TX	PB0	6	Table 5-18
EVENTOUT	PB1	3	Table 5-27
LPUART_RTS	PB1	7	Table 5-20
SEG16	PB1	10	Table 5-29
TIM1_CH3N	PB1	5	Table 5-6
TIM3_CH4	PB1	2	Table 5-8
TIM8_CH3N	PB1	0	Table 5-11
UART4_RX	PB1	6	Table 5-18
EVENTOUT	PB10	3	Table 5-27
I2C2_SCL	PB10	6	Table 5-22
LPUART_RX	PB10	4	Table 5-20
SEG16	PB10	10	Table 5-29
TIM2_CH3	PB10	2	Table 5-7
USART3_TX	PB10	0	Table 5-17
EVENTOUT	PB11	3	Table 5-27
I2C2_SDA	PB11	6	Table 5-22
LPUART_RX	PB11	4	Table 5-20
SEG16	PB11	10	Table 5-29
TIM2_CH4	PB11	2	Table 5-7
USART3_RX	PB11	5	Table 5-17
EVENTOUT	PB12	3	Table 5-27
I2C2_SMBA	PB12	8	Table 5-22
LPUART_RTS	PB12	2	Table 5-20
SEG16	PB12	10	Table 5-29
SPI2_I2S2_NSS_WS	PB12	0	Table 5-24
TIM1_BKIN	PB12	5	Table 5-6
TIM9_CH1	PB12	1	Table 5-12
USART3_CK	PB12	4	Table 5-17
EVENTOUT	PB13	3	Table 5-27
I2C2_SCL	PB13	5	Table 5-22
LPUART_CTS	PB13	4	Table 5-20
SEG16	PB13	10	Table 5-29
SPI2_I2S2_SCLK_CK	PB13	0	Table 5-24
TIM1_CH1N	PB13	2	Table 5-6
TIM9_CH2	PB13	1	Table 5-12
USART3_CTS	PB13	7	Table 5-17
EVENTOUT	PB14	3	Table 5-27
I2C2_SDA	PB14	5	Table 5-22
LPUART_RTS	PB14	4	Table 5-20
SEG16	PB14	10	Table 5-29
SPI2_I2S2_MISO_MCK	PB14	0	Table 5-24
TIM1_CH2N	PB14	2	Table 5-6
TIM9_CH3	PB14	1	Table 5-12
UART4_TX	PB14	6	Table 5-18
USART3_RTS	PB14	7	Table 5-17
EVENTOUT	PB15	3	Table 5-27
RTC_REFIN	PB15	9	Table 5-28
SEG16	PB15	10	Table 5-29
SPI2_I2S2_MOSI_SD	PB15	0	Table 5-24
TIM1_CH3N	PB15	2	Table 5-6
TIM9_CH4	PB15	1	Table 5-12
UART4_RX	PB15	6	Table 5-18
EVENTOUT	PB2	3	Table 5-27
LPTIM_OUT	PB2	2	Table 5-13
TIM9_ETR	PB2	1	Table 5-12
EVENTOUT	PB3	3	Table 5-27
SEG16	PB3	10	Table 5-29
SPI1_I2S1_SCLK_CK	PB3	1	Table 5-23
TIM2_CH2	PB3	2	Table 5-7
USART2_RTS	PB3	4	Table 5-16
EVENTOUT	PB4	3	Table 5-27
SEG16	PB4	10	Table 5-29
SPI1_I2S1_MISO_MCK	PB4	1	Table 5-23
TIM3_CH1	PB4	2	Table 5-8
UART5_TX	PB4	6	Table 5-19
USART2_TX	PB4	4	Table 5-16
EVENTOUT	PB5	3	Table 5-27
