# N32L40x per-pin alternate-function signal lists.
# Transcribed verbatim from the datasheet "Table 3-1 Pin Description",
# N32L40xx8/xB Datasheet (94pp), the "Alternate function" column ONLY.
# The "Optional function" column (ADC_INx, COMPx_INy, OPAMPx_VINz, WKUP,
# OSC, TAMP, RTC_OUT, USB_DM/DP, etc.) is deliberately EXCLUDED -- those are
# analog/special connections, not AFL/AFH-muxed digital alternate functions.
#
# Format (tab-separated): PIN<TAB>SIGNAL,SIGNAL,...
# SIGNAL names are the datasheet's, of form <PERIPH>_<pinfunc> (e.g. SPI1_NSS).
# The peripheral prefix is what gets matched against af_map.txt.
#
# Hand-transcribed data, not generated. Verify against datasheet Table 3-1.
# LCD_SEG*/LCD_COM* are included (they are AF10/AF11). EVENTOUT is AF3.
# TRACED*/TRACESWO/JTDI/JTDO/SWDIO/SWCLK/NJTRST are SW_JTAG (AF0) debug fns.

PD1	TRACED0,LCD_SEG33
PD3	TRACED1,USART2_CTS,LCD_SEG34
PC13	TIM1_CH1N,LCD_SEG35,EVENTOUT
PD14	USART2_TX,I2C2_SDA,TIM1_CH3N
PD15	USART2_RX,I2C2_SCL
PC0	I2C1_SCL,LPTIM_IN1,LCD_SEG18,EVENTOUT
PC1	LPTIM_OUT,I2C1_SDA,LCD_SEG19,EVENTOUT
PC2	LCD_SEG20,EVENTOUT,LPTIM_IN2
PC3	LCD_SEG21,LPTIM_ETR,EVENTOUT
PA0	USART2_CTS,LPUART_RX,TIM2_CH1,TIM2_ETR,TIM5_CH1,TIM8_ETR,SPI1_MISO,I2S1_MCK,EVENTOUT,COMP1_OUT
PA1	USART2_RTS,LPUART_TX,TIM5_CH2,TIM2_CH2,LCD_SEG0,EVENTOUT
PA2	USART2_TX,TIM5_CH3,TIM2_CH3,LCD_SEG1,I2C2_SDA,COMP2_OUT,EVENTOUT
PD8	LCD_SEG36
PD9	LCD_SEG37
PD10	LCD_SEG38
PA3	USART2_RX,LPUART_RX,TIM5_CH4,LCD_SEG2,I2C2_SCL,EVENTOUT
PA4	USART2_CK,LPUART_TX,I2C1_SCL,SPI1_NSS,I2S1_WS,USART1_TX,EVENTOUT
PA5	SPI1_SCK,I2C1_SDA,I2S1_CK,USART1_RX,EVENTOUT
PA6	LPUART_CTS,SPI1_MISO,I2S1_MCK,TIM8_BKIN,TIM3_CH1,TIM1_BKIN,LCD_SEG3,COMP2_OUT,EVENTOUT
PA7	SPI1_MOSI,I2S1_SD,TIM1_CH1N,TIM8_CH1N,TIM3_CH2,LCD_SEG4,COMP2_OUT,EVENTOUT
PC4	LPUART_TX,I2C1_SCL,LCD_SEG22,EVENTOUT
PC5	LPUART_RX,I2C1_SDA,LCD_SEG23,EVENTOUT
PB0	TIM1_CH2N,TIM3_CH3,TIM8_CH2N,LCD_SEG5,UART4_TX,EVENTOUT
PB1	LPUART_RTS,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,LCD_SEG6,UART4_RX,EVENTOUT
PB2	LPTIM_OUT,TIM9_ETR,EVENTOUT
PB10	USART3_TX,LPUART_TX,I2C2_SCL,LCD_SEG10,TIM2_CH3,EVENTOUT
PB11	USART3_RX,LPUART_RX,I2C2_SDA,TIM2_CH4,LCD_SEG11,EVENTOUT
PD11	LCD_SEG39
PB12	SPI2_NSS,I2S2_WS,I2C2_SMBA,USART3_CK,TIM1_BKIN,LPUART_RTS,LCD_SEG12,TIM9_CH1,EVENTOUT
PB13	SPI2_SCK,I2S2_CK,USART3_CTS,I2C2_SCL,LPUART_CTS,TIM1_CH1N,LCD_SEG13,TIM9_CH2,EVENTOUT
PB14	SPI2_MISO,I2S2_MCK,TIM1_CH2N,USART3_RTS,I2C2_SDA,LPUART_RTS,LCD_SEG14,TIM9_CH3,EVENTOUT,UART4_TX
PB15	UART4_RX,SPI2_MOSI,I2S2_SD,TIM1_CH3N,LCD_SEG15,TIM9_CH4,EVENTOUT
PC6	SPI2_NSS,I2S2_WS,TIM8_CH1,TIM3_CH1,LCD_SEG24,EVENTOUT
PC7	SPI2_SCK,I2S2_CK,TIM3_CH2,TIM8_CH2,LCD_SEG25,EVENTOUT
PC8	SPI2_MISO,I2S2_MCK,TIM8_CH3,TIM3_CH3,LCD_SEG26
PC9	SPI2_MOSI,I2S2_SD,TIM3_CH4,TIM8_CH4,LCD_SEG27,EVENTOUT
PA8	USART1_CK,I2C2_SMBA,TIM1_CH1,LCD_COM0,I2C2_SDA,SPI1_NSS,I2S1_WS,MCO,EVENTOUT
PA9	USART1_TX,I2C2_SCL,TIM1_CH2,LCD_COM1,EVENTOUT
PA10	USART1_RX,I2C2_SDA,SPI1_SCK,SPI2_SCK,I2S1_CK,I2S2_CK,TIM1_CH3,LCD_COM2,EVENTOUT
PA11	USART1_CTS,SPI2_MISO,I2S2_MCK,CAN_RX,TIM1_CH4,COMP1_OUT,EVENTOUT
PA12	USART1_RTS,SPI2_MOSI,I2S2_SD,CAN_TX,TIM1_ETR,COMP2_OUT,EVENTOUT
PA13	SWDIO_JTMS,SPI2_NSS,I2S2_WS,EVENTOUT
PD12	UART4_RX,I2C1_SDA,SPI2_SCK,I2S2_CK,EVENTOUT
PD13	UART4_TX,I2C1_SCL,EVENTOUT
PA14	SWCLK_JTCK,USART2_CK,I2C1_SDA,COMP2_OUT
PA15	JTDI,USART2_CTS,I2C1_SCL,SPI2_NSS,I2S2_WS,TIM2_CH1,TIM2_ETR,LCD_SEG17,LCD_COM3,EVENTOUT
PC10	USART3_TX,UART4_TX,LPUART_TX,LCD_SEG28,LCD_SEG40,LCD_COM4,EVENTOUT
PC11	USART3_RX,UART4_RX,LPUART_RX,LCD_SEG29,LCD_SEG41,LCD_COM5,EVENTOUT
PC12	USART3_CK,UART5_TX,LCD_SEG30,LCD_SEG42,LCD_COM6,EVENTOUT
PD2	TIM3_ETR,UART5_RX,LPUART_RTS,LCD_SEG31,LCD_SEG43,LCD_COM7,EVENTOUT
PB3	USART2_RTS,SPI1_SCK,I2S1_CK,TIM2_CH2,JTDO_TRACESWO,LCD_SEG7,EVENTOUT
